Code,Location,Area,Price,Image,Link
P00088,50/43 หมู่บ้านศุภาลัย เลค 4  ถ.คุ้มเกล้า แขวงแสนแสบ เขตมีนบุรี กรุงเทพมหานคร,0000-0-60.0 / 60 ตร.ว.,"2,800,000บาท",https://media.tmbbank.com/uploads/npa/product/img/1203_20201217144122.jpg,https://www.ttbbank.com/property/property/detail/P00088
P00265,19/207 หมู่บ้านเดอะคอนเนค 28 วัชรพล-เพิ่มสิน ถนนเพิ่มสิน ซอย22 แขวงคลองถนน เขตสายไหม กรุงเทพมหานคร,0000-0-21.0 / 21 ตร.ว.,"2,809,000บาท",https://media.tmbbank.com/uploads/npa/product/img/3898_20220803201153.jpg,https://www.ttbbank.com/property/property/detail/P00265
P00084,ห้องชุดเลขที่ 557/294 ชั้น 17 อาคาร 1 โครงการเลอริช ถนนสาธุประดิษฐ์ แขวงช่องนนทรี เขตยานนาวา กรุงเทพมหานคร,0000-0-00.0 / 48.22 ตร.ม.,"2,840,000บาท",https://media.tmbbank.com/uploads/npa/product/img/3692_20220406195333.jpg,https://www.ttbbank.com/property/property/detail/P00084
P00207,23 หมู่บ้านพรทวี วิลล่า 4 ซอยทวีวัฒนา 19/1 ถนนเลียบคลองทวีวัฒนา แขวงทวีวัฒนา เขตตลิ่งชัน กรุงเทพมหานคร,0000-0-24.0 / 24 ตร.ว.,"2,860,000บาท",https://media.tmbbank.com/uploads/npa/product/img/2004_20210318105615.jpg,https://www.ttbbank.com/property/property/detail/P00207
P00274,19/236 โครงการเดอะคอนเนค 28 เพิ่มสิน-วัชรพล ถนนเพิ่มสิน แขวงคลองถนน เขตสายไหม กรุงเทพมหานคร,0000-0-21.0 / 21 ตร.ว.,"2,860,000บาท",https://media.tmbbank.com/uploads/npa/product/img/3766_20220513153449.jpg,https://www.ttbbank.com/property/property/detail/P00274
P00351,ห้องชุดเลขที่ 4288/510  ชั้น23 อาคารA โครงการแอสปาย พระราม 4 ถนนกล้วยน้ำไท แขวงพระโขนง เขตคลองเตย กรุงเทพมหานคร,0000-0-00.0 / 28.42 ตร.ม.,"2,877,000บาท",https://media.tmbbank.com/uploads/npa/product/img/3074_20210624151843.jpg,https://www.ttbbank.com/property/property/detail/P00351
P00035,9/36 หมู่บ้านเดอสยาม สวนหลวง ร.9 ซอยเฉลิมพระเกียรติร.9 ซอย 38 ถนนเฉลิมพระเกียรติ ร.9 แขวงดอกไม้ เขตประเวศ กรุงเทพมหานคร,0000-0-24.7 / 24.7 ตร.ว.,"2,900,000บาท",https://media.tmbbank.com/uploads/npa/product/img/470_20201216121732.jpg,https://www.ttbbank.com/property/property/detail/P00035
C10321,18/253 หมู่บ้านเดอะเมทโทร พระราม 9 ซอย4/3 (ในโครงการฯ) ถนนคู่ขนานมอเตอร์เวย์ แขวงประเวศ เขตประเวศ กรุงเทพมหานคร,0000-0-18.5 / 18.5 ตร.ว.,"2,960,000บาท",https://media.tmbbank.com/uploads/npa/product/img/3131_20210621101342.jpg,https://www.ttbbank.com/property/property/detail/C10321
P00457,406/101 หมู่บ้านอาร์ เค พาร์ค รามอินทรา-คู้บอน ถนนเลียบคลองสอง แขวงบางชัน เขตคลองสามวา กรุงเทพมหานคร,0000-0-25.6 / 25.6 ตร.ว.,"2,970,000บาท",https://media.tmbbank.com/uploads/npa/product/img/3309_20210625093148.jpg,https://www.ttbbank.com/property/property/detail/P00457
P00459,56/287 โครงการเดอะคอนเนค ดอนเมือง สรงประภา ซอย 10 (ในโครงการฯ) ถนนสรงประภา แขวงสีกัน เขตดอนเมือง กรุงเทพมหานคร,0000-0-20.9 / 20.9 ตร.ว.,"2,970,000บาท",https://media.tmbbank.com/uploads/npa/product/img/3311_20210624131908.jpg,https://www.ttbbank.com/property/property/detail/P00459
